dataset,changepoint_prior_scale,daily_seasonality,seasonality_mode,seasonality_prior_scale,rmse,mae,r2
trace5.csv,0.01,False,multiplicative,1.0,213.58676149869402,205.7523651123047,-14.03313159942627
trace5.csv,0.01,False,multiplicative,10.0,213.58676149869402,205.7523651123047,-14.03313159942627
trace5.csv,0.05,True,additive,0.01,60.74546263276583,48.8270263671875,-0.21598565578460693
trace5.csv,0.05,True,additive,0.1,59.82605604936594,48.16875076293945,-0.17945539951324463
trace5.csv,0.05,True,additive,1.0,60.03251479016392,48.22846603393555,-0.18761003017425537
trace5.csv,0.05,True,additive,10.0,60.1726702427325,48.33293914794922,-0.19316184520721436
trace5.csv,0.05,True,multiplicative,0.01,62.97944620692731,50.82215881347656,-0.3070688247680664
trace5.csv,0.05,True,multiplicative,0.1,57.54051095003089,47.53606414794922,-0.09105885028839111
trace5.csv,0.05,True,multiplicative,1.0,57.63540231150794,47.66029739379883,-0.09466052055358887
trace5.csv,0.05,True,multiplicative,10.0,57.725028844324754,47.59685134887695,-0.09806764125823975
trace5.csv,0.05,False,additive,0.01,154.83060299889038,144.0415496826172,-6.899768829345703
trace5.csv,0.05,False,additive,0.1,154.83060299889038,144.0415496826172,-6.899768829345703
trace5.csv,0.05,False,additive,1.0,154.83060299889038,144.0415496826172,-6.899768829345703
trace5.csv,0.05,False,additive,10.0,154.83060299889038,144.0415496826172,-6.899768829345703
trace5.csv,0.05,False,multiplicative,0.01,154.83060299889038,144.0415496826172,-6.899768829345703
trace5.csv,0.05,False,multiplicative,0.1,154.83060299889038,144.0415496826172,-6.899768829345703
trace5.csv,0.05,False,multiplicative,1.0,154.83060299889038,144.0415496826172,-6.899768829345703
trace5.csv,0.05,False,multiplicative,10.0,154.83060299889038,144.0415496826172,-6.899768829345703
trace5.csv,0.1,True,additive,0.01,60.55983933784006,48.6654052734375,-0.20856547355651855
trace5.csv,0.1,True,additive,0.1,59.993619452405106,48.11117172241211,-0.18607163429260254
trace5.csv,0.1,True,additive,1.0,60.15765826273701,48.373966217041016,-0.19256651401519775
trace5.csv,0.1,True,additive,10.0,60.09662020251742,48.28276062011719,-0.1901477575302124
trace5.csv,0.1,True,multiplicative,0.01,62.702036730526146,50.57212829589844,-0.29557955265045166
trace5.csv,0.1,True,multiplicative,0.1,57.96134133923878,47.572166442871094,-0.10707652568817139
trace5.csv,0.1,True,multiplicative,1.0,57.95021393335727,47.549373626708984,-0.1066514253616333
trace5.csv,0.1,True,multiplicative,10.0,57.89710447881871,47.57273483276367,-0.10462403297424316
trace5.csv,0.1,False,additive,0.01,155.508440285407,144.96266174316406,-6.969089508056641
trace5.csv,0.1,False,additive,0.1,155.508440285407,144.96266174316406,-6.969089508056641
trace5.csv,0.1,False,additive,1.0,155.508440285407,144.96266174316406,-6.969089508056641
